AreaCode,AreaName,CategoryAttribute,Denominator,Factor,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,34095.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),68.86,60-79,Age group,23645.0,To March 2023,69.84,69.35,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,31245.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),69.24,60-79,Age group,21795.0,To March 2023,70.26,69.75,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,27160.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),78.47,80+,Age group,21445.0,To March 2023,79.44,78.95,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,11235.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),81.66,80+,Age group,9255.0,To March 2023,83.07,82.38,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,15925.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),75.88,80+,Age group,12185.0,To March 2023,77.19,76.54,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,3565.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),69.2,Asian,Ethnicity,2520.0,To March 2023,72.17,70.72,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,960.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),56.58,Black,Ethnicity,575.0,To March 2023,62.69,59.67,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,21090.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),65.59,Missing,Ethnicity,13970.0,To March 2023,66.86,66.23,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,490.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),59.88,Mixed,Ethnicity,315.0,To March 2023,68.23,64.14,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,11090.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),63.4,Not stated,Ethnicity,7130.0,To March 2023,65.17,64.29,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,83545.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),69.55,White,Ethnicity,58370.0,To March 2023,70.18,69.87,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,370.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),56.27,Other,Ethnicity,230.0,To March 2023,65.87,61.29,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,7315.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),67.24,1 - most deprived,Deprivation quintile,5000.0,To March 2023,69.37,68.32,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,12850.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),65.68,2,Deprivation quintile,8545.0,To March 2023,67.31,66.5,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,27730.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),67.49,3,Deprivation quintile,18870.0,To March 2023,68.58,68.04,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,36815.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),67.85,4,Deprivation quintile,25155.0,To March 2023,68.8,68.32,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,35185.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),69.58,5 - least deprived,Deprivation quintile,24650.0,To March 2023,70.53,70.06,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,118870.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),62.89,Persons,Sex,75080.0,To March 2023,63.43,63.16,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,59540.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),61.09,Male,Sex,36605.0,To March 2023,61.87,61.48,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,59335.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),64.46,Female,Sex,38475.0,To March 2023,65.23,64.85,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,3265.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),45.5,18-39,Age group,1540.0,To March 2023,48.9,47.2,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,1625.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),39.48,18-39,Age group,680.0,To March 2023,44.22,41.84,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,1645.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),50.09,18-39,Age group,865.0,To March 2023,54.89,52.49,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,33950.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),54.29,40-59,Age group,18610.0,To March 2023,55.35,54.82,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,18255.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),50.52,40-59,Age group,9355.0,To March 2023,51.97,51.25,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,15690.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),58.21,40-59,Age group,9255.0,To March 2023,59.75,58.98,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,60780.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),64.39,60-79,Age group,39365.0,To March 2023,65.15,64.77,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,31130.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),63.79,60-79,Age group,20025.0,To March 2023,64.85,64.32,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,29645.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),64.69,60-79,Age group,19340.0,To March 2023,65.78,65.24,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,20875.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),73.95,80+,Age group,15560.0,To March 2023,75.12,74.54,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,8525.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),75.86,80+,Age group,6545.0,To March 2023,77.64,76.77,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,12350.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),72.22,80+,Age group,9015.0,To March 2023,73.78,73.0,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,11785.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),64.49,Asian,Ethnicity,7700.0,To March 2023,66.2,65.35,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,6550.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),53.94,Black,Ethnicity,3615.0,To March 2023,56.34,55.14,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,19950.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),59.51,Missing,Ethnicity,12010.0,To March 2023,60.87,60.19,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,1245.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),54.73,Mixed,Ethnicity,715.0,To March 2023,60.18,57.51,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,5925.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),59.9,Not stated,Ethnicity,3625.0,To March 2023,62.38,61.15,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,72570.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),64.33,White,Ethnicity,46940.0,To March 2023,65.03,64.68,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,845.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),53.07,Other,Ethnicity,475.0,To March 2023,59.69,56.47,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,13855.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),58.92,1 - most deprived,Deprivation quintile,8275.0,To March 2023,60.55,59.74,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,21930.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),60.29,2,Deprivation quintile,13365.0,To March 2023,61.58,60.93,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,23070.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),62.08,3,Deprivation quintile,14465.0,To March 2023,63.32,62.7,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,31360.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),63.85,4,Deprivation quintile,20190.0,To March 2023,64.91,64.38,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,29405.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),64.67,5 - least deprived,Deprivation quintile,19175.0,To March 2023,65.76,65.22,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,175085.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),66.92,Persons,Sex,117550.0,To March 2023,67.36,67.14,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,86185.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),65.29,Male,Sex,56545.0,To March 2023,65.93,65.61,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,88905.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),68.31,Female,Sex,61005.0,To March 2023,68.92,68.62,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,4885.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),48.1,18-39,Age group,2420.0,To March 2023,50.9,49.5,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,2525.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),43.04,18-39,Age group,1135.0,To March 2023,46.92,44.99,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,2360.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),52.31,18-39,Age group,1280.0,To March 2023,56.29,54.33,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,49905.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),58.12,40-59,Age group,29220.0,To March 2023,58.99,58.56,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,26845.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),54.73,40-59,Age group,14850.0,To March 2023,55.92,55.33,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,23060.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),61.69,40-59,Age group,14370.0,To March 2023,62.94,62.31,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,87240.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),68.62,60-79,Age group,60135.0,To March 2023,69.24,68.93,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,43885.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),68.12,60-79,Age group,30085.0,To March 2023,68.99,68.56,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,43355.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),68.87,60-79,Age group,30050.0,To March 2023,69.74,69.31,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,33055.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),77.53,80+,Age group,25775.0,To March 2023,78.42,77.98,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,12930.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),80.31,80+,Age group,10470.0,To March 2023,81.66,80.99,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,20130.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),75.45,80+,Age group,15305.0,To March 2023,76.62,76.04,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,39375.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),67.73,Asian,Ethnicity,26850.0,To March 2023,68.65,68.19,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,16125.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),59.94,Black,Ethnicity,9785.0,To March 2023,61.44,60.69,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,6560.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),62.25,Missing,Ethnicity,4160.0,To March 2023,64.56,63.42,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,2625.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),57.31,Mixed,Ethnicity,1555.0,To March 2023,61.04,59.2,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,2100.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),55.26,Not stated,Ethnicity,1205.0,To March 2023,59.45,57.39,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,106145.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),68.13,White,Ethnicity,72615.0,To March 2023,68.69,68.41,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,2160.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),62.03,Other,Ethnicity,1385.0,To March 2023,66.05,64.06,
